age,workclass,education-num,marital-status,occupation,hours-per-week,income
62,Private,13,Married-civ-spouse,Exec-managerial,1,True
21,Private,9,Never-married,Machine-op-inspct,1,False
77,Self-emp-not-inc,10,Widowed,Adm-clerical,1,False
58,State-gov,16,Married-civ-spouse,Prof-specialty,1,False
22,Private,9,Never-married,Machine-op-inspct,1,False
74,Private,6,Divorced,Other-service,1,False
39,Private,7,Divorced,Farming-fishing,1,False
73,Self-emp-not-inc,10,Married-civ-spouse,Prof-specialty,1,False
27,Private,9,Never-married,Machine-op-inspct,1,False
57,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,1,False
27,Private,13,Never-married,Sales,2,False
76,Self-emp-not-inc,9,Widowed,Exec-managerial,2,False
18,Private,7,Never-married,Prof-specialty,2,False
32,Private,13,Married-civ-spouse,Adm-clerical,2,False
81,Private,4,Widowed,Exec-managerial,2,False
73,Self-emp-not-inc,16,Married-civ-spouse,Exec-managerial,2,False
81,Private,15,Married-civ-spouse,Farming-fishing,2,True
44,Private,10,Married-civ-spouse,Priv-house-serv,2,False
40,Self-emp-not-inc,12,Never-married,Prof-specialty,2,False
71,Self-emp-not-inc,15,Married-civ-spouse,Farming-fishing,2,False
35,Self-emp-not-inc,6,Married-civ-spouse,Other-service,2,False
24,Local-gov,12,Never-married,Prof-specialty,2,False
71,Self-emp-not-inc,10,Separated,Sales,2,False
67,Self-emp-not-inc,14,Widowed,Prof-specialty,2,False
82,Private,4,Married-civ-spouse,Handlers-cleaners,2,False
50,Private,9,Married-civ-spouse,Craft-repair,2,False
47,Private,14,Married-civ-spouse,Prof-specialty,2,False
20,Private,10,Never-married,Prof-specialty,2,False
28,Private,13,Never-married,Sales,2,False
20,Private,10,Never-married,Sales,2,False
67,Private,13,Married-civ-spouse,Prof-specialty,2,False
67,Self-emp-not-inc,9,Married-civ-spouse,Adm-clerical,2,False
18,Private,7,Never-married,Prof-specialty,3,False
23,Private,7,Never-married,Craft-repair,3,False
18,Private,6,Never-married,Other-service,3,False
73,Private,9,Widowed,Sales,3,False
22,Private,9,Married-spouse-absent,Other-service,3,False
75,Self-emp-not-inc,16,Married-civ-spouse,Prof-specialty,3,False
18,Private,9,Never-married,Protective-serv,3,False
22,Self-emp-not-inc,10,Never-married,Prof-specialty,3,False
31,Private,12,Never-married,Prof-specialty,3,False
45,Self-emp-not-inc,11,Married-civ-spouse,Protective-serv,3,False
66,Private,9,Never-married,Other-service,3,False
65,Self-emp-not-inc,9,Married-civ-spouse,Machine-op-inspct,3,False
64,Private,9,Never-married,Exec-managerial,3,False
24,Private,12,Never-married,Other-service,3,False
36,Private,11,Never-married,Tech-support,3,False
24,Self-emp-not-inc,7,Never-married,Prof-specialty,3,False
19,Private,9,Never-married,Sales,3,False
19,Private,10,Never-married,Other-service,3,False
71,Local-gov,9,Divorced,Exec-managerial,3,False
70,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,3,False
61,Private,9,Married-civ-spouse,Adm-clerical,3,False
57,Private,4,Widowed,Sales,3,False
64,Private,10,Widowed,Exec-managerial,3,False
36,Private,12,Separated,Tech-support,3,False
71,Private,13,Divorced,Adm-clerical,3,False
49,Private,13,Married-civ-spouse,Prof-specialty,3,True
44,Private,13,Married-civ-spouse,Prof-specialty,3,False
69,Private,15,Married-civ-spouse,Prof-specialty,3,False
63,Self-emp-not-inc,3,Never-married,Sales,3,False
78,Self-emp-not-inc,10,Married-civ-spouse,Craft-repair,3,False
28,Private,11,Divorced,Adm-clerical,3,False
71,Self-emp-not-inc,9,Married-civ-spouse,Machine-op-inspct,3,False
69,Private,2,Widowed,Priv-house-serv,4,False
33,State-gov,10,Married-civ-spouse,Craft-repair,4,False
18,Private,8,Never-married,Machine-op-inspct,4,False
36,Private,10,Divorced,Exec-managerial,4,False
55,Private,5,Married-civ-spouse,Handlers-cleaners,4,False
47,Private,9,Divorced,Priv-house-serv,4,False
66,Private,9,Married-civ-spouse,Other-service,4,False
61,Private,9,Married-civ-spouse,Other-service,4,False
18,Federal-gov,7,Never-married,Machine-op-inspct,4,False
34,Private,6,Separated,Other-service,4,False
70,Private,14,Married-civ-spouse,Sales,4,True
18,Private,7,Never-married,Other-service,4,False
17,Private,6,Never-married,Adm-clerical,4,False
67,Self-emp-not-inc,12,Married-civ-spouse,Exec-managerial,4,False
39,Self-emp-not-inc,9,Never-married,Sales,4,False
74,Self-emp-not-inc,10,Married-civ-spouse,Exec-managerial,4,False
28,Self-emp-not-inc,13,Never-married,Prof-specialty,4,False
36,Self-emp-not-inc,10,Married-civ-spouse,Prof-specialty,4,False
47,Private,9,Divorced,Other-service,4,False
18,Self-emp-not-inc,7,Never-married,Other-service,4,False
21,Private,10,Never-married,Prof-specialty,4,False
36,Private,13,Married-civ-spouse,Prof-specialty,4,False
56,Private,9,Married-civ-spouse,Sales,4,False
20,Private,10,Never-married,Adm-clerical,4,False
22,Federal-gov,10,Never-married,Transport-moving,4,False
41,Private,10,Married-civ-spouse,Prof-specialty,4,False
81,Private,13,Married-civ-spouse,Adm-clerical,4,True
22,Private,13,Never-married,Exec-managerial,4,False
17,Self-emp-not-inc,7,Never-married,Prof-specialty,4,False
67,Private,9,Married-civ-spouse,Sales,4,False
18,Self-emp-not-inc,7,Never-married,Other-service,4,False
17,Self-emp-inc,6,Never-married,Other-service,4,False
21,Local-gov,10,Never-married,Adm-clerical,4,False
64,Private,3,Widowed,Priv-house-serv,4,False
19,Private,10,Never-married,Other-service,4,False
24,Private,13,Never-married,Sales,4,False
21,Private,10,Never-married,Tech-support,4,False
20,Private,10,Never-married,Sales,4,False
71,Private,10,Married-civ-spouse,Sales,4,False
77,State-gov,16,Married-spouse-absent,Prof-specialty,4,True
37,Private,11,Divorced,Other-service,4,False
59,Private,13,Married-civ-spouse,Craft-repair,4,False
35,Self-emp-not-inc,7,Married-civ-spouse,Prof-specialty,4,False
61,Private,9,Married-civ-spouse,Adm-clerical,5,False
70,Self-emp-inc,10,Never-married,Exec-managerial,5,False
18,Private,7,Never-married,Adm-clerical,5,False
17,Private,9,Never-married,Adm-clerical,5,False
33,Self-emp-not-inc,10,Never-married,Other-service,5,False
79,Private,4,Widowed,Other-service,5,False
64,Private,13,Divorced,Sales,5,False
41,Self-emp-not-inc,14,Divorced,Sales,5,False
18,State-gov,7,Never-married,Adm-clerical,5,False
30,State-gov,10,Never-married,Prof-specialty,5,False
23,Private,13,Never-married,Adm-clerical,5,False
61,Private,15,Married-civ-spouse,Transport-moving,5,False
43,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,5,True
18,Private,7,Never-married,Prof-specialty,5,False
17,Private,7,Never-married,Other-service,5,False
69,Federal-gov,14,Divorced,Prof-specialty,5,False
52,Self-emp-not-inc,10,Never-married,Adm-clerical,5,False
29,Self-emp-not-inc,7,Married-civ-spouse,Other-service,5,False
62,Self-emp-not-inc,4,Married-civ-spouse,Sales,5,False
17,Private,6,Never-married,Farming-fishing,5,False
40,Private,13,Married-civ-spouse,Prof-specialty,5,False
70,Private,9,Widowed,Adm-clerical,5,False
30,Private,10,Married-civ-spouse,Prof-specialty,5,False
77,Private,9,Widowed,Craft-repair,5,False
81,Private,5,Widowed,Priv-house-serv,5,False
64,Self-emp-not-inc,9,Married-civ-spouse,Sales,5,False
64,Private,9,Married-civ-spouse,Exec-managerial,5,False
44,Private,13,Never-married,Exec-managerial,5,False
73,Local-gov,6,Married-civ-spouse,Farming-fishing,5,False
46,Private,9,Never-married,Handlers-cleaners,5,False
67,Private,13,Divorced,Exec-managerial,5,False
18,Private,7,Never-married,Craft-repair,5,False
70,Private,9,Married-civ-spouse,Adm-clerical,5,False
78,Local-gov,9,Widowed,Adm-clerical,5,False
85,Private,14,Widowed,Prof-specialty,5,False
17,Private,7,Never-married,Sales,5,False
28,Self-emp-not-inc,13,Married-civ-spouse,Sales,5,False
24,Private,11,Never-married,Sales,5,False
88,Self-emp-not-inc,4,Widowed,Farming-fishing,5,False
18,Private,7,Never-married,Sales,5,False
18,Private,7,Never-married,Handlers-cleaners,5,False
71,Self-emp-not-inc,9,Widowed,Farming-fishing,5,False
66,Private,13,Married-civ-spouse,Sales,5,False
17,Private,7,Never-married,Other-service,5,False
17,Private,6,Never-married,Sales,5,False
37,Self-emp-not-inc,13,Married-civ-spouse,Prof-specialty,5,False
33,Private,13,Married-civ-spouse,Adm-clerical,5,True
68,State-gov,14,Widowed,Prof-specialty,5,False
47,Self-emp-not-inc,13,Divorced,Exec-managerial,5,False
68,Private,9,Married-civ-spouse,Transport-moving,5,False
28,Private,11,Married-civ-spouse,Prof-specialty,5,False
64,Self-emp-not-inc,13,Married-civ-spouse,Adm-clerical,5,False
50,Self-emp-not-inc,12,Never-married,Sales,5,False
28,Local-gov,12,Never-married,Craft-repair,5,False
17,Private,6,Never-married,Sales,5,False
21,Private,12,Never-married,Other-service,5,False
64,State-gov,14,Married-civ-spouse,Prof-specialty,5,False
70,Private,9,Widowed,Adm-clerical,5,False
70,Self-emp-inc,13,Widowed,Farming-fishing,6,False
20,Private,10,Never-married,Handlers-cleaners,6,False
49,Private,7,Married-civ-spouse,Other-service,6,False
68,Self-emp-not-inc,3,Married-civ-spouse,Craft-repair,6,False
25,Private,9,Never-married,Other-service,6,False
69,Local-gov,9,Married-civ-spouse,Craft-repair,6,False
20,Private,10,Never-married,Sales,6,False
73,Self-emp-not-inc,10,Married-civ-spouse,Sales,6,False
17,Private,8,Never-married,Other-service,6,False
29,Private,10,Married-civ-spouse,Adm-clerical,6,False
19,Self-emp-inc,9,Never-married,Other-service,6,False
44,Private,10,Married-civ-spouse,Adm-clerical,6,False
23,State-gov,10,Never-married,Prof-specialty,6,False
73,Local-gov,3,Married-civ-spouse,Prof-specialty,6,False
18,Private,7,Never-married,Priv-house-serv,6,False
18,Private,7,Never-married,Other-service,6,False
17,Private,5,Never-married,Other-service,6,False
17,Private,7,Never-married,Sales,6,False
74,Self-emp-inc,13,Married-civ-spouse,Adm-clerical,6,True
18,Local-gov,6,Never-married,Protective-serv,6,False
18,Private,6,Never-married,Other-service,6,False
71,Local-gov,13,Widowed,Prof-specialty,6,False
72,Private,13,Married-civ-spouse,Sales,6,False
55,Private,10,Married-civ-spouse,Transport-moving,6,False
67,Private,5,Married-civ-spouse,Priv-house-serv,6,False
18,Private,8,Never-married,Handlers-cleaners,6,False
63,Private,9,Widowed,Farming-fishing,6,False
17,Private,10,Never-married,Adm-clerical,6,False
79,Federal-gov,16,Widowed,Exec-managerial,6,False
81,Private,3,Widowed,Other-service,6,False
76,Private,9,Widowed,Adm-clerical,6,False
71,Private,5,Divorced,Priv-house-serv,6,False
71,Local-gov,9,Married-civ-spouse,Other-service,6,False
37,Private,11,Never-married,Sales,6,False
70,Private,10,Never-married,Adm-clerical,6,False
22,Private,13,Never-married,Prof-specialty,6,False
72,Private,10,Widowed,Adm-clerical,6,False
23,Private,10,Never-married,Priv-house-serv,6,False
22,Private,12,Married-civ-spouse,Exec-managerial,6,False
30,Private,10,Married-civ-spouse,Other-service,6,False
47,Private,14,Divorced,Sales,6,False
79,Private,9,Married-spouse-absent,Prof-specialty,6,False
18,Private,7,Never-married,Farming-fishing,6,False
61,Private,10,Married-civ-spouse,Other-service,6,False
74,Private,6,Widowed,Other-service,6,False
68,Private,9,Widowed,Priv-house-serv,6,False
17,Private,8,Never-married,Sales,6,False
34,Private,10,Divorced,Prof-specialty,6,False
17,Private,7,Never-married,Handlers-cleaners,6,False
77,Local-gov,9,Married-civ-spouse,Exec-managerial,6,False
17,Private,6,Never-married,Other-service,6,False
62,Self-emp-not-inc,13,Married-civ-spouse,Craft-repair,6,False
62,Self-emp-not-inc,9,Never-married,Other-service,6,False
69,Private,4,Married-civ-spouse,Handlers-cleaners,6,False
17,Private,8,Never-married,Prof-specialty,7,False
62,Private,12,Widowed,Other-service,7,False
45,Private,9,Married-civ-spouse,Adm-clerical,7,False
33,Self-emp-not-inc,7,Divorced,Handlers-cleaners,7,False
17,Private,7,Never-married,Other-service,7,False
47,Local-gov,9,Married-civ-spouse,Other-service,7,False
26,State-gov,13,Married-civ-spouse,Adm-clerical,7,False
66,Self-emp-not-inc,10,Married-civ-spouse,Farming-fishing,7,False
