,compoundA,compoundB,success
0,1300,0.62,TRUE
1,900,0.21,FALSE
2,1000,0.77,FALSE
3,1600,0.58,FALSE
4,900,0.22,FALSE
5,600,0.74,FALSE
6,700,0.39,FALSE
7,1000,0.73,FALSE
8,900,0.27,FALSE
9,900,0.57,FALSE
10,1300,0.27,FALSE
11,900,0.76,FALSE
12,700,0.18,FALSE
13,1300,0.32,FALSE
14,400,0.81,FALSE
15,1600,0.73,FALSE
16,1500,0.81,TRUE
17,1000,0.44,FALSE
18,1200,0.4,FALSE
19,1500,0.71,FALSE
20,600,0.35,FALSE
21,1200,0.24,FALSE
22,1000,0.71,FALSE
23,1400,0.67,FALSE
24,400,0.82,FALSE
25,900,0.5,FALSE
26,1400,0.47,FALSE
27,1000,0.2,FALSE
28,1300,0.28,FALSE
29,1000,0.2,FALSE
30,1300,0.67,FALSE
31,900,0.67,FALSE
32,700,0.18,FALSE
33,700,0.23,FALSE
34,600,0.18,FALSE
35,900,0.73,FALSE
36,900,0.22,FALSE
37,1600,0.75,FALSE
38,900,0.18,FALSE
39,1000,0.22,FALSE
40,1200,0.31,FALSE
41,1100,0.45,FALSE
42,900,0.66,FALSE
43,900,0.65,FALSE
44,900,0.64,FALSE
45,1200,0.24,FALSE
46,1100,0.36,FALSE
47,700,0.24,FALSE
48,900,0.19,FALSE
49,1000,0.19,FALSE
50,900,0.71,FALSE
51,900,0.7,FALSE
52,900,0.61,FALSE
53,400,0.57,FALSE
54,1000,0.64,FALSE
55,1200,0.36,FALSE
56,1300,0.71,FALSE
57,1300,0.49,TRUE
58,1300,0.44,FALSE
59,1500,0.69,FALSE
60,300,0.63,FALSE
61,1000,0.78,FALSE
62,1100,0.28,FALSE
63,900,0.71,FALSE
64,200,0.69,FALSE
65,1000,0.33,FALSE
66,800,0.18,FALSE
67,1000,0.36,FALSE
68,500,0.55,FALSE
69,900,0.47,FALSE
70,900,0.66,FALSE
71,900,0.61,FALSE
72,700,0.18,FALSE
73,600,0.34,FALSE
74,1400,0.7,TRUE
75,700,0.18,FALSE
76,600,0.17,FALSE
77,1200,0.67,FALSE
78,900,0.39,FALSE
79,1000,0.74,FALSE
80,1300,0.28,FALSE
81,1000,0.36,FALSE
82,900,0.47,FALSE
83,700,0.18,FALSE
84,1000,0.21,FALSE
85,1300,0.36,FALSE
86,900,0.56,FALSE
87,1000,0.2,FALSE
88,1000,0.22,FALSE
89,1000,0.41,FALSE
90,1300,0.81,TRUE
91,1300,0.22,FALSE
92,700,0.17,FALSE
93,900,0.67,FALSE
94,700,0.18,FALSE
95,600,0.17,FALSE
96,1000,0.21,FALSE
97,300,0.64,FALSE
98,1000,0.19,FALSE
99,1300,0.24,FALSE
100,1000,0.21,FALSE
101,1000,0.2,FALSE
102,1000,0.71,FALSE
103,1600,0.77,TRUE
104,1100,0.37,FALSE
105,1300,0.59,FALSE
106,700,0.35,FALSE
107,900,0.61,FALSE
108,1000,0.7,FALSE
109,700,0.18,FALSE
110,900,0.17,FALSE
111,1000,0.33,FALSE
112,400,0.79,FALSE
113,1300,0.64,FALSE
114,1400,0.41,FALSE
115,700,0.18,FALSE
116,1000,0.3,FALSE
117,1300,0.23,FALSE
118,1500,0.61,FALSE
119,1500,0.43,TRUE
120,700,0.18,FALSE
121,700,0.17,FALSE
122,1400,0.69,FALSE
123,1000,0.52,FALSE
124,700,0.29,FALSE
125,400,0.62,FALSE
126,600,0.17,FALSE
127,1300,0.4,FALSE
128,900,0.7,FALSE
129,1000,0.3,FALSE
130,900,0.77,FALSE
131,500,0.81,FALSE
132,900,0.64,FALSE
133,900,0.64,FALSE
134,1300,0.44,FALSE
135,600,0.73,FALSE
136,900,0.46,FALSE
137,1300,0.67,FALSE
138,700,0.18,FALSE
139,900,0.7,FALSE
140,900,0.78,FALSE
141,1400,0.85,FALSE
142,700,0.17,FALSE
143,1300,0.28,FALSE
144,1100,0.24,FALSE
145,400,0.88,FALSE
146,700,0.18,FALSE
147,700,0.18,FALSE
148,900,0.71,FALSE
149,1300,0.66,FALSE
150,700,0.17,FALSE
151,600,0.17,FALSE
152,1300,0.37,FALSE
153,1300,0.33,TRUE
154,1400,0.68,FALSE
155,1300,0.47,FALSE
156,900,0.68,FALSE
157,1100,0.28,FALSE
158,1300,0.64,FALSE
159,1200,0.5,FALSE
160,1200,0.28,FALSE
161,600,0.17,FALSE
162,1200,0.21,FALSE
163,1400,0.64,FALSE
164,900,0.7,FALSE
165,1300,0.7,FALSE
166,1000,0.2,FALSE
167,700,0.49,FALSE
168,300,0.68,FALSE
169,900,0.25,FALSE
170,900,0.69,FALSE
171,1000,0.2,FALSE
172,1000,0.73,FALSE
173,800,0.17,FALSE
174,1000,0.29,FALSE
175,900,0.19,FALSE
176,1000,0.44,FALSE
177,1000,0.23,FALSE
178,300,0.73,FALSE
179,700,0.18,FALSE
180,700,0.18,FALSE
181,500,0.17,FALSE
182,700,0.17,FALSE
183,1300,0.74,TRUE
184,600,0.18,FALSE
185,600,0.18,FALSE
186,1300,0.71,FALSE
187,1300,0.72,FALSE
188,1000,0.55,FALSE
189,500,0.67,FALSE
190,800,0.18,FALSE
191,900,0.63,FALSE
192,1000,0.17,FALSE
193,1600,0.79,FALSE
194,300,0.81,FALSE
195,900,0.76,FALSE
196,500,0.71,FALSE
197,900,0.71,FALSE
198,1100,0.37,FALSE
199,1000,0.7,FALSE
200,1300,0.22,FALSE
201,1000,0.72,FALSE
202,1000,0.23,FALSE
203,1200,0.22,FALSE
204,1000,0.3,FALSE
205,1400,0.47,FALSE
206,900,0.79,FALSE
207,700,0.18,FALSE
208,1000,0.61,FALSE
209,600,0.74,FALSE
210,900,0.68,FALSE
211,800,0.17,FALSE
212,1000,0.34,FALSE
213,700,0.17,FALSE
214,900,0.77,FALSE
215,600,0.17,FALSE
216,1300,0.62,FALSE
217,900,0.62,FALSE
218,400,0.69,FALSE
219,800,0.17,FALSE
220,1200,0.62,FALSE
221,900,0.45,FALSE
222,700,0.33,FALSE
223,700,0.17,FALSE
224,900,0.47,FALSE
225,1300,0.26,FALSE
226,1000,0.66,FALSE
227,1300,0.62,FALSE
228,1000,0.28,FALSE
