age,workclass,education-num,marital-status,occupation,hours-per-week,income
62,2,13,2,3,1,True
21,2,9,4,6,1,False
77,4,10,6,0,1,False
58,5,16,2,9,1,False
22,2,9,4,6,1,False
74,2,6,0,7,1,False
39,2,7,0,4,1,False
73,4,10,2,9,1,False
27,2,9,4,6,1,False
57,4,9,2,3,1,False
27,2,13,4,11,2,False
76,4,9,6,3,2,False
18,2,7,4,9,2,False
32,2,13,2,0,2,False
81,2,4,6,3,2,False
73,4,16,2,3,2,False
81,2,15,2,4,2,True
44,2,10,2,8,2,False
40,4,12,4,9,2,False
71,4,15,2,4,2,False
35,4,6,2,7,2,False
24,1,12,4,9,2,False
71,4,10,5,11,2,False
67,4,14,6,9,2,False
82,2,4,2,5,2,False
50,2,9,2,2,2,False
47,2,14,2,9,2,False
20,2,10,4,9,2,False
28,2,13,4,11,2,False
20,2,10,4,11,2,False
67,2,13,2,9,2,False
67,4,9,2,0,2,False
18,2,7,4,9,3,False
23,2,7,4,2,3,False
18,2,6,4,7,3,False
73,2,9,6,11,3,False
22,2,9,3,7,3,False
75,4,16,2,9,3,False
18,2,9,4,10,3,False
22,4,10,4,9,3,False
31,2,12,4,9,3,False
45,4,11,2,10,3,False
66,2,9,4,7,3,False
65,4,9,2,6,3,False
64,2,9,4,3,3,False
24,2,12,4,7,3,False
36,2,11,4,12,3,False
24,4,7,4,9,3,False
19,2,9,4,11,3,False
19,2,10,4,7,3,False
71,1,9,0,3,3,False
70,4,9,2,3,3,False
61,2,9,2,0,3,False
57,2,4,6,11,3,False
64,2,10,6,3,3,False
36,2,12,5,12,3,False
71,2,13,0,0,3,False
49,2,13,2,9,3,True
44,2,13,2,9,3,False
69,2,15,2,9,3,False
63,4,3,4,11,3,False
78,4,10,2,2,3,False
28,2,11,0,0,3,False
71,4,9,2,6,3,False
69,2,2,6,8,4,False
33,5,10,2,2,4,False
18,2,8,4,6,4,False
36,2,10,0,3,4,False
55,2,5,2,5,4,False
47,2,9,0,8,4,False
66,2,9,2,7,4,False
61,2,9,2,7,4,False
18,0,7,4,6,4,False
34,2,6,5,7,4,False
70,2,14,2,11,4,True
18,2,7,4,7,4,False
17,2,6,4,0,4,False
67,4,12,2,3,4,False
39,4,9,4,11,4,False
74,4,10,2,3,4,False
28,4,13,4,9,4,False
36,4,10,2,9,4,False
47,2,9,0,7,4,False
18,4,7,4,7,4,False
21,2,10,4,9,4,False
36,2,13,2,9,4,False
56,2,9,2,11,4,False
20,2,10,4,0,4,False
22,0,10,4,13,4,False
41,2,10,2,9,4,False
81,2,13,2,0,4,True
22,2,13,4,3,4,False
17,4,7,4,9,4,False
67,2,9,2,11,4,False
18,4,7,4,7,4,False
17,3,6,4,7,4,False
21,1,10,4,0,4,False
64,2,3,6,8,4,False
19,2,10,4,7,4,False
24,2,13,4,11,4,False
21,2,10,4,12,4,False
20,2,10,4,11,4,False
71,2,10,2,11,4,False
77,5,16,3,9,4,True
37,2,11,0,7,4,False
59,2,13,2,2,4,False
35,4,7,2,9,4,False
61,2,9,2,0,5,False
70,3,10,4,3,5,False
18,2,7,4,0,5,False
17,2,9,4,0,5,False
33,4,10,4,7,5,False
79,2,4,6,7,5,False
64,2,13,0,11,5,False
41,4,14,0,11,5,False
18,5,7,4,0,5,False
30,5,10,4,9,5,False
23,2,13,4,0,5,False
61,2,15,2,13,5,False
43,4,15,2,9,5,True
18,2,7,4,9,5,False
17,2,7,4,7,5,False
69,0,14,0,9,5,False
52,4,10,4,0,5,False
29,4,7,2,7,5,False
62,4,4,2,11,5,False
17,2,6,4,4,5,False
40,2,13,2,9,5,False
70,2,9,6,0,5,False
30,2,10,2,9,5,False
77,2,9,6,2,5,False
81,2,5,6,8,5,False
64,4,9,2,11,5,False
64,2,9,2,3,5,False
44,2,13,4,3,5,False
73,1,6,2,4,5,False
46,2,9,4,5,5,False
67,2,13,0,3,5,False
18,2,7,4,2,5,False
70,2,9,2,0,5,False
78,1,9,6,0,5,False
85,2,14,6,9,5,False
17,2,7,4,11,5,False
28,4,13,2,11,5,False
24,2,11,4,11,5,False
88,4,4,6,4,5,False
18,2,7,4,11,5,False
18,2,7,4,5,5,False
71,4,9,6,4,5,False
66,2,13,2,11,5,False
17,2,7,4,7,5,False
17,2,6,4,11,5,False
37,4,13,2,9,5,False
33,2,13,2,0,5,True
68,5,14,6,9,5,False
47,4,13,0,3,5,False
68,2,9,2,13,5,False
28,2,11,2,9,5,False
64,4,13,2,0,5,False
50,4,12,4,11,5,False
28,1,12,4,2,5,False
17,2,6,4,11,5,False
21,2,12,4,7,5,False
64,5,14,2,9,5,False
70,2,9,6,0,5,False
70,3,13,6,4,6,False
20,2,10,4,5,6,False
49,2,7,2,7,6,False
68,4,3,2,2,6,False
25,2,9,4,7,6,False
69,1,9,2,2,6,False
20,2,10,4,11,6,False
73,4,10,2,11,6,False
17,2,8,4,7,6,False
29,2,10,2,0,6,False
19,3,9,4,7,6,False
44,2,10,2,0,6,False
23,5,10,4,9,6,False
73,1,3,2,9,6,False
18,2,7,4,8,6,False
18,2,7,4,7,6,False
17,2,5,4,7,6,False
17,2,7,4,11,6,False
74,3,13,2,0,6,True
18,1,6,4,10,6,False
18,2,6,4,7,6,False
