track_name,artist(s)_name,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",141381703,125,B,Major,80,89,83,31,0,8,4
LALA,Myke Towers,133716286,92,C#,Major,71,61,74,7,0,10,4
vampire,Olivia Rodrigo,140003974,138,F,Major,51,32,53,17,0,31,6
Cruel Summer,Taylor Swift,800840817,170,A,Major,55,58,72,11,0,11,15
WHERE SHE GOES,Bad Bunny,303236322,144,A,Minor,65,23,80,14,63,11,6
Sprinter,"Dave, Central Cee",183706234,141,C#,Major,92,66,58,19,0,8,24
Ella Baila Sola,"Eslabon Armado, Peso Pluma",725980112,148,F,Minor,67,83,76,48,0,8,3
Columbia,Quevedo,58149378,100,F,Major,67,26,71,37,0,11,4
fukumean,Gunna,95217315,130,C#,Minor,85,22,62,12,0,28,9
La Bebe - Remix,"Peso Pluma, Yng Lvcas",553634067,170,D,Minor,81,56,48,21,0,8,33
un x100to,"Bad Bunny, Grupo Frontera",505671438,83,F#,Minor,57,56,72,23,0,27,5
Super Shy,NewJeans,58255150,150,F,Minor,78,52,82,18,0,15,7
Daylight,David Kushner,387570742,130,D,Minor,51,32,43,83,0,9,3
Kill Bill,SZA,1163093654,89,G#,Major,64,43,73,5,17,16,4
Cupid - Twin Ver.,Fifty Fifty,496795686,120,B,Minor,78,76,59,43,0,34,3
Classy 101,"Feid, Young Miko",335222234,100,B,Major,86,67,66,14,0,12,16
Like Crazy,Jimin,363369738,120,G,Major,63,36,73,0,0,36,4
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",86444842,140,F,Minor,65,87,74,22,0,42,4
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,52135248,123,F#,Major,69,82,76,6,0,6,3
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",200647221,133,F,Minor,85,81,67,26,0,12,5
